uuid,benchmark,solver,preconditioner,size,suite,hostname,version,fipy_version
271057f3-2519-4325-b454-f3a9bf9f7426,binary_phase_field,LinearPCGSolver,DefaultPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
3080a435-3f16-477e-a852-ea4b9df09b25,binary_phase_field,LinearPCGSolver,ICPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
f5deb34a-b073-423e-b6b1-d14271299ea7,binary_phase_field,LinearPCGSolver,ICPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
94fbbbbb-1f2b-4497-a699-2c04d38ff765,binary_phase_field,LinearPCGSolver,ILUPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
1d88798e-c1c4-4de0-b787-e235b5dbe775,binary_phase_field,LinearPCGSolver,ILUPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
676f5002-2c97-45e5-9eb4-6683c4257e49,binary_phase_field,LinearPCGSolver,JacobiPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
14260c93-210e-491c-95a7-405594a4958a,binary_phase_field,LinearPCGSolver,JacobiPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
3d569f38-b8b0-4230-9f5c-522cb51b1489,binary_phase_field,LinearPCGSolver,LUPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
9ddb805f-4cf5-4e57-89d1-c95a7c3ed495,binary_phase_field,LinearPCGSolver,LUPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
b2a6d59a-39e5-4dc5-86ca-3253864fdf7d,binary_phase_field,LinearPCGSolver,SSORPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
4e0d8370-6f42-4196-b950-615a139eabbb,binary_phase_field,LinearPCGSolver,SSORPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
